Class,2015-2019,2020-2024,2025-2029,2030-2034,2035-2039,2040-2044,2045-2049,2050-2054,2055-2059,2060-2064
Spruce-Fir Inventory ,41731250.31,41755549.65,43417327.73,44483315.63,50456199.2,52915174.67,55732720.89,55850504.11,54088612.53,47038247.72
Hardwood Inventory,47046697.42,48685967.87,51620032.3,52980583.13,54885580.76,57778849.2,59041051.63,59851213.56,59232523.77,56156194.42
Other Softwood Inventory,19898244.64,19230814.61,19824872.4,20763536.28,21559979.64,22201951.2,22078297.43,21046375.79,21399875.95,20186765.93
Pine Inventory,19736980.95,21373508.47,22616535.79,23786810.92,24906494.37,25439517.01,26074667.91,25972906.44,26115732.74,24149865.66
Cedar Inventory,10387345.03,10432003.38,10239745.15,10263395.42,9981144.9,9847062.94,9552264.88,9487317.74,9251040.26,8960198.15
Aspen Inventory,7133017.74,6901586.83,6833270.05,6974156.63,6939670.15,7434427.75,8378779.44,8868891,9682969.07,10671084.5
