Class,2014,2019,2024,2029,2034,2039,2044,2049,2054,2059,2064
Spruce-Fir Inventory ,162166.7861,175190.8691,192051.2836,215548.706,246302.1407,283124.876,318138.9003,344319.1937,362694.7397,377198.0086,389472.5416
Hardwood Inventory,270357.0891,283797.5674,298165.8358,314618.4264,332434.4567,350755.8017,369590.4426,387972.6705,405214.9804,421255.9631,436616.0261
Other Softwood Inventory,54938.52494,58497.69837,61744.74127,64339.98463,66663.82598,68680.64004,70218.31911,71569.57588,72610.11689,73733.73828,74968.40304
Pine Inventory,71462.14452,76724.732,82181.06412,86952.98403,91150.14332,94430.86985,96872.75736,98743.00489,100166.9021,101294.0767,102038.231
Cedar Inventory,37100.90843,38230.51058,38612.98497,38811.22874,38910.87702,38866.92489,38522.35109,38024.89171,37307.32034,36295.56494,35096.79818
Aspen Inventory,31872.96019,32703.54396,33453.84465,34085.45066,34471.08592,34625.59454,34625.59454,34625.59454,34778.26484,35023.76444,35425.08353
