Time,2015-2019,2020-2024,2025-2029,2030-2034,2035-2039,2040-2044,2045-2049,2050-2054,2055-2059,2060-2064
Spruce-Fir Tons Cut,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
Hardwood Tons Cut,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
Other Softwood Tons Cut,750,750,750,750,750,750,750,750,750,750
Pine Tons Cut,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
Cedar Tons Cut,200,200,200,200,200,200,200,200,200,200
Aspen Tons Cut,900,900,900,900,900,900,900,900,900,900
